time,open,high,low,close,volume,symbols,date-first,month-first,minutes
2022-03-25 09:30:00,129.31,129.31,129.31,129.31,100,my_symbols,26/04/2022,05/26/2022,09:30:00 AM
2022-03-25 09:20:00,129.5,129.5,129.5,129.5,190,my_symbols,26/04/2022,05/26/2022,09:20:00 AM
2022-03-25 09:14:00,129.6,129.6,129.6,129.6,108,my_symbols,26/04/2022,05/26/2022,09:14:00 AM
2022-03-25 08:59:00,129.7616,129.7616,129.7616,129.7616,206,my_symbols,26/04/2022,05/26/2022,08:59:00 AM
2022-03-25 08:02:00,129.24,129.24,129.24,129.24,102,my_symbols,26/04/2022,05/26/2022,08:02:00 AM
2022-03-25 06:57:00,129.29,129.29,129.29,129.29,501,my_symbols,26/04/2022,05/26/2022,06:57:00 AM
2022-03-24 20:00:00,129.24,129.24,129.24,129.24,100,my_symbols,25/04/2022,05/25/2022,08:00:00 PM
2022-03-24 19:43:00,129.2,129.2,129.2,129.2,3088,my_symbols,25/04/2022,05/25/2022,07:43:00 PM
2022-03-24 17:48:00,129.45,129.45,129.2085,129.2085,350,my_symbols,25/04/2022,05/25/2022,05:48:00 PM
2022-03-24 17:34:00,129.31,129.31,129.3,129.3,378,my_symbols,25/04/2022,05/25/2022,05:34:00 PM
2022-03-24 16:51:00,129.29,129.51,129.29,129.38,898,my_symbols,25/04/2022,05/25/2022,04:51:00 PM
2022-03-24 16:45:00,129.261,129.261,129.261,129.261,100,my_symbols,25/04/2022,05/25/2022,04:45:00 PM
2022-03-24 16:39:00,129.25,129.25,129.25,129.25,1591,my_symbols,25/04/2022,05/25/2022,04:39:00 PM
2022-03-24 16:38:00,129.34,129.35,129.34,129.35,1157,my_symbols,25/04/2022,05/25/2022,04:38:00 PM
2022-03-24 16:04:00,129.25,129.25,129.25,129.25,20302,my_symbols,25/04/2022,05/25/2022,04:04:00 PM
2022-03-24 16:03:00,129.25,129.25,129.25,129.25,9488,my_symbols,25/04/2022,05/25/2022,04:03:00 PM
2022-03-24 16:02:00,129.25,129.25,129.25,129.25,4881,my_symbols,25/04/2022,05/25/2022,04:02:00 PM
2022-03-24 16:01:00,129.25,129.25,129.25,129.25,24872,my_symbols,25/04/2022,05/25/2022,04:01:00 PM
2022-03-24 16:00:00,129.26,129.319,129.22,129.25,75932,my_symbols,25/04/2022,05/25/2022,04:00:00 PM
2022-03-24 15:59:00,129.25,129.28,129.25,129.255,27081,my_symbols,25/04/2022,05/25/2022,03:59:00 PM
2022-03-24 15:58:00,129.26,129.28,129.23,129.25,21466,my_symbols,25/04/2022,05/25/2022,03:58:00 PM
2022-03-24 15:57:00,129.28,129.29,129.24,129.2637,14731,my_symbols,25/04/2022,05/25/2022,03:57:00 PM
2022-03-24 15:56:00,129.2601,129.319,129.23,129.2601,25261,my_symbols,25/04/2022,05/25/2022,03:56:00 PM
2022-03-24 15:55:00,129.33,129.33,129.25,129.26,20874,my_symbols,25/04/2022,05/25/2022,03:55:00 PM
2022-03-24 15:54:00,129.3031,129.37,129.29,129.34,27026,my_symbols,25/04/2022,05/25/2022,03:54:00 PM
2022-03-24 15:53:00,129.26,129.315,129.25,129.31,13696,my_symbols,25/04/2022,05/25/2022,03:53:00 PM
2022-03-24 15:52:00,129.1624,129.255,129.16,129.255,16037,my_symbols,25/04/2022,05/25/2022,03:52:00 PM
2022-03-24 15:51:00,129.1,129.17,129.09,129.17,12185,my_symbols,25/04/2022,05/25/2022,03:51:00 PM
2022-03-24 15:50:00,129.04,129.1,129.04,129.1,10173,my_symbols,25/04/2022,05/25/2022,03:50:00 PM
2022-03-24 15:49:00,129.1,129.1,129.02,129.04,9153,my_symbols,25/04/2022,05/25/2022,03:49:00 PM
2022-03-24 15:48:00,129.08,129.135,129.06,129.1,10226,my_symbols,25/04/2022,05/25/2022,03:48:00 PM
2022-03-24 15:47:00,129.08,129.109,129.07,129.091,4637,my_symbols,25/04/2022,05/25/2022,03:47:00 PM
2022-03-24 15:46:00,129.03,129.06,129.025,129.055,6994,my_symbols,25/04/2022,05/25/2022,03:46:00 PM
2022-03-24 15:45:00,128.975,129.0437,128.965,129.02,7830,my_symbols,25/04/2022,05/25/2022,03:45:00 PM
2022-03-24 15:44:00,128.96,128.979,128.945,128.97,8707,my_symbols,25/04/2022,05/25/2022,03:44:00 PM
2022-03-24 15:43:00,128.99,128.99,128.945,128.955,12165,my_symbols,25/04/2022,05/25/2022,03:43:00 PM
2022-03-24 15:42:00,129.06,129.08,129.0,129.005,17480,my_symbols,25/04/2022,05/25/2022,03:42:00 PM
2022-03-24 15:41:00,129.04,129.06,129.0037,129.05,9947,my_symbols,25/04/2022,05/25/2022,03:41:00 PM
2022-03-24 15:40:00,129.04,129.055,129.0277,129.05,8130,my_symbols,25/04/2022,05/25/2022,03:40:00 PM
2022-03-24 15:39:00,129.08,129.1,129.04,129.04,5607,my_symbols,25/04/2022,05/25/2022,03:39:00 PM
2022-03-24 15:38:00,129.08,129.11,129.07,129.085,3958,my_symbols,25/04/2022,05/25/2022,03:38:00 PM
2022-03-24 15:37:00,129.12,129.15,129.08,129.08,11777,my_symbols,25/04/2022,05/25/2022,03:37:00 PM
2022-03-24 15:36:00,129.1,129.12,129.0847,129.12,4204,my_symbols,25/04/2022,05/25/2022,03:36:00 PM
2022-03-24 15:35:00,129.07,129.12,129.06,129.0999,8838,my_symbols,25/04/2022,05/25/2022,03:35:00 PM
2022-03-24 15:34:00,129.06,129.08,129.04,129.08,5622,my_symbols,25/04/2022,05/25/2022,03:34:00 PM
2022-03-24 15:33:00,129.04,129.08,129.01,129.07,5757,my_symbols,25/04/2022,05/25/2022,03:33:00 PM
2022-03-24 15:32:00,129.1,129.11,129.06,129.06,4112,my_symbols,25/04/2022,05/25/2022,03:32:00 PM
2022-03-24 15:31:00,129.11,129.11,129.08,129.1,4746,my_symbols,25/04/2022,05/25/2022,03:31:00 PM
2022-03-24 15:30:00,129.0804,129.115,129.0804,129.1,3124,my_symbols,25/04/2022,05/25/2022,03:30:00 PM
2022-03-24 15:29:00,129.145,129.145,129.07,129.095,4738,my_symbols,25/04/2022,05/25/2022,03:29:00 PM
2022-03-24 15:28:00,129.13,129.13,129.111,129.13,5377,my_symbols,25/04/2022,05/25/2022,03:28:00 PM
2022-03-24 15:27:00,129.1,129.15,129.09,129.13,3942,my_symbols,25/04/2022,05/25/2022,03:27:00 PM
